nome,unidade negocios,cpf_cnpj,marcas,instagram,uf,cidade,regiao,telefone/email,pote de ouro,numero pedido,estagio funil
PTG Store Multimarcas,LM,,,https://www.instagram.com/ptgstore,SP - São Paulo,Guarulhos,Sudeste,(11) 94717-7935,Sim,,Novo/Sem Contato
Labelle Moda Íntima,LBM,,Lets Gym,https://www.instagram.com/labelle_moda.intima/,RS - Rio Grande do Sul,Passo Fundo,Sul,(54) 99647-1380,Sim,,Novo/Sem Contato
Seven More,LM,,,https://www.instagram.com/sevenxmore/,SP - São Paulo,Rio Grande da Serra,Sudeste,,Sim,,Novo/Sem Contato
Rubia Monteiro Store,LBM,,,https://www.instagram.com/rubiamstore/,PR - Paraná,Cornélio Procópio,Sul,(43) 99665-1593,Sim,,Novo/Sem Contato
Dondoca Boutique,LBM,,Lança perfume,https://www.instagram.com/dondoccca/,SC - Santa Catarina,Palhoça,Sul,(47) 99631-0285,Sim,,Novo/Sem Contato
Dose Dupla Moda Fitness,LBM,,"Live, Lets Gym",https://www.instagram.com/usedosedupla/,MG - Minas Gerais,Contagem,Centro-Oeste,(31) 97311-1505,Sim,,Novo/Sem Contato
Filha Fina,LBM,,,https://www.instagram.com/filha_finaa/,DF - Distrito Federal,Brasília,Centro-Oeste,(61) 98557-5432,Sim,,Novo/Sem Contato
E'toiss Acessórios,LBM/LM,,Totanka,https://www.instagram.com/p/CmMLT2QrYMV/,SP - São Paulo,Taquaritinga,Sudeste,(16) 99455-8767,Sim,,Novo/Sem Contato
Be Moda Masculina e Feminina,LBM/LM,,,https://www.instagram.com/bebolsasdf/,DF - Distrito Federal,Brasília,Centro-Oeste,61995171286,Sim,,Novo/Sem Contato
Divamora Boutique,LBM,,,https://www.instagram.com/boutiquedivamora/,BA - Bahia,Camaçari,Nordeste,71993597800,Sim,,Novo/Sem Contato
Natureza Serrão,LBM,,,https://www.instagram.com/naturezaserrao/,PA - Pará,Prainha,Norte,93984356275,Sim,,Novo/Sem Contato
Closet Moda Fitness,LBM,,,https://www.instagram.com/closetfitness__84/,RN - Rio Grande do Norte,Natal,Nordeste,(84) 99644-4375,Sim,,Novo/Sem Contato
Marrúh Multibrand Feminina,LBM,,,https://www.instagram.com/usemarruh/,MG - Minas Gerais,Belo Horizonte,Centro-Oeste,(31) 99240-0149,Sim,,Novo/Sem Contato
Amanda Fit Store,LBM,,,https://www.instagram.com/amandafitstore_/,GO - Goiás,Formosa,Centro-Oeste,(61) 99833-0519,Sim,,Novo/Sem Contato
Ariane Ottone Moda Fitness e Praia,LBM,,,https://www.instagram.com/arianeottone.fitnessepraia/,MG - Minas Gerais,Curvelo,Centro-Oeste,(38) 99939-3866,Sim,,Novo/Sem Contato
Cia do Esporte,LBM/LM,,,https://www.instagram.com/ciadoesportejp/,MG - Minas Gerais,João Pinheiro,Centro-Oeste,(38) 99743-8157,Sim,,Novo/Sem Contato
La Mix Moda Fitness e Casual,LBM,,"Colcci, Live",https://www.instagram.com/la_mix_fraiburgo/,SC - Santa Catarina,Fraiburgo,Sul,49 98422-5468,Sim,,Novo/Sem Contato
Camy Moda Fitness,LBM,,"Vestem, Lets Gym",https://www.instagram.com/camymodafitness/,RS - Rio Grande do Sul,Rio Grande,Sul,53 984516743,Sim,,Novo/Sem Contato
Belo Cavaleiro,LM,,,https://www.instagram.com/outletbelocavaleiro/,BA - Bahia,Jacobina,Nordeste,45999651695,Sim,,Novo/Sem Contato
Cabide Store,LM,,,https://www.instagram.com/cabidestore2.0/,SP - São Paulo,Indaiatuba,Sudeste,14991454753,Sim,,Novo/Sem Contato
7Dois Multimarcas,LM,,,https://www.instagram.com/7doismultimarcas/,PA - Pará,Ipixuna do Pará,Norte,91987035331,Sim,,Novo/Sem Contato
Lechic Store Goioere,LBM,,,https://www.instagram.com/lechicstorehouse/,PR - Paraná,Goioerê,Sul,,Sim,,Novo/Sem Contato
